** Cluster Picker Results **
Input sequences =	/home/david/Dropbox/eac_phylo_analysis/simpact_simulation/C.Epidemic.pol.fas
Input tree =	/home/david/Dropbox/eac_phylo_analysis/simpact_simulation/C.Epidemic.pol.fas.nwk
Initial support threshold=	0.9
Support threshold=	0.9
Genetic distance threshold=	4.5
Large cluster threshold=	5
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	/home/david/Dropbox/eac_phylo_analysis/simpact_simulation/C.Epidemic.pol_C.Epidemic.pol.fas_clusterPicks.fas
Output tree=	/home/david/Dropbox/eac_phylo_analysis/simpact_simulation/C.Epidemic.pol.fas_clusterPicks.nwk
Output figtree=	/home/david/Dropbox/eac_phylo_analysis/simpact_simulation/C.Epidemic.pol.fas_clusterPicks.nwk.figTree
-------------------------
There are	810	sequences
Tree has	810	tips
Found	16	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	45	45	[5.44.C, 5.22.C, 5.157.C, 5.137.C, 5.344.C, 5.364.C, 5.404.C, 5.304.C, 5.367.C, 5.314.C, 5.399.C, 5.464.C, 5.497.C, 5.468.C, 5.465.C, 5.348.C, 5.443.C, 5.492.C, 5.447.C, 5.441.C, 5.452.C, 5.485.C, 5.486.C, 5.479.C, 5.377.C, 5.445.C, 5.454.C, 5.461.C, 5.467.C, 5.431.C, 5.458.C, 5.446.C, 5.340.C, 5.407.C, 5.361.C, 5.169.C, 5.239.C, 5.199.C, 5.240.C, 5.253.C, 5.267.C, 5.38.C, 5.209.C, 5.187.C, 5.54.C]	0.997	0.1196923076923077
2	9	9	[5.121.C, 5.290.C, 5.132.C, 5.268.C, 5.17.C, 5.320.C, 5.437.C, 5.323.C, 5.357.C]	1.0	0.10246153846153847
3	5	5	[5.271.C, 5.19.C, 5.262.C, 5.287.C, 5.318.C]	1.0	0.051076923076923075
4	45	45	[5.40.C, 5.221.C, 5.222.C, 5.178.C, 5.307.C, 5.281.C, 5.181.C, 5.208.C, 5.158.C, 5.285.C, 5.43.C, 5.116.C, 5.39.C, 5.277.C, 5.444.C, 5.59.C, 5.86.C, 5.75.C, 5.306.C, 5.119.C, 5.265.C, 5.416.C, 5.462.C, 5.419.C, 5.254.C, 5.440.C, 5.473.C, 5.484.C, 5.422.C, 5.490.C, 5.500.C, 5.249.C, 5.133.C, 5.328.C, 5.365.C, 5.480.C, 5.326.C, 5.68.C, 5.255.C, 5.175.C, 5.309.C, 5.48.C, 5.81.C, 5.41.C, 5.16.C]	1.0	0.11692307692307692
5	35	35	[5.29.C, 5.163.C, 5.230.C, 5.241.C, 5.380.C, 5.311.C, 5.286.C, 5.92.C, 5.97.C, 5.11.C, 5.128.C, 5.89.C, 5.212.C, 5.463.C, 5.231.C, 5.214.C, 5.379.C, 5.263.C, 5.190.C, 5.251.C, 5.322.C, 5.245.C, 5.238.C, 5.234.C, 5.294.C, 5.321.C, 5.236.C, 5.172.C, 5.115.C, 5.160.C, 5.333.C, 5.204.C, 5.341.C, 5.87.C, 5.330.C]	0.921	0.10215384615384615
6	3	3	[5.63.C, 5.20.C, 5.282.C]	0.999	0.08369230769230769
7	9	9	[5.96.C, 5.91.C, 5.114.C, 5.136.C, 5.14.C, 5.219.C, 5.50.C, 5.34.C, 5.297.C]	0.944	0.09907692307692308
8	65	65	[5.23.C, 5.360.C, 5.386.C, 5.400.C, 5.426.C, 5.430.C, 5.433.C, 5.439.C, 5.466.C, 5.495.C, 5.496.C, 5.493.C, 5.503.C, 5.489.C, 5.481.C, 5.499.C, 5.488.C, 5.476.C, 5.502.C, 5.353.C, 5.421.C, 5.415.C, 5.356.C, 5.46.C, 5.369.C, 5.358.C, 5.501.C, 5.483.C, 5.504.C, 5.223.C, 5.246.C, 5.260.C, 5.317.C, 5.215.C, 5.376.C, 5.305.C, 5.308.C, 5.398.C, 5.435.C, 5.472.C, 5.424.C, 5.494.C, 5.438.C, 5.459.C, 5.487.C, 5.396.C, 5.80.C, 5.196.C, 5.343.C, 5.210.C, 5.402.C, 5.228.C, 5.385.C, 5.373.C, 5.378.C, 5.70.C, 5.229.C, 5.100.C, 5.107.C, 5.71.C, 5.90.C, 5.173.C, 5.65.C, 5.26.C, 5.171.C]	0.977	0.11446153846153846
9	83	83	[5.12.C, 5.76.C, 5.69.C, 5.135.C, 5.153.C, 5.64.C, 5.168.C, 5.143.C, 5.170.C, 5.270.C, 5.389.C, 5.226.C, 5.272.C, 5.299.C, 5.207.C, 5.384.C, 5.206.C, 5.278.C, 5.296.C, 5.180.C, 5.112.C, 5.151.C, 5.105.C, 5.224.C, 5.200.C, 5.261.C, 5.150.C, 5.147.C, 5.266.C, 5.289.C, 5.273.C, 5.300.C, 5.337.C, 5.256.C, 5.406.C, 5.393.C, 5.313.C, 5.477.C, 5.351.C, 5.408.C, 5.347.C, 5.460.C, 5.418.C, 5.470.C, 5.434.C, 5.336.C, 5.456.C, 5.457.C, 5.471.C, 5.427.C, 5.474.C, 5.450.C, 5.442.C, 5.436.C, 5.429.C, 5.428.C, 5.469.C, 5.498.C, 5.425.C, 5.475.C, 5.412.C, 5.338.C, 5.302.C, 5.409.C, 5.366.C, 5.453.C, 5.264.C, 5.394.C, 5.370.C, 5.414.C, 5.155.C, 5.27.C, 5.129.C, 5.118.C, 5.216.C, 5.189.C, 5.345.C, 5.405.C, 5.195.C, 5.174.C, 5.99.C, 5.36.C, 5.88.C]	0.994	0.112
10	5	5	[5.102.C, 5.1.C, 5.134.C, 5.233.C, 5.161.C]	1.0	0.07846153846153846
