"","V1","V2"
"1","5.0.C","22.0493918369"
"2","5.1.C","18.2770718909"
"3","5.2.C","17.3490852576"
"4","5.3.C","21.2103193981"
"5","5.4.C","19.8919452114"
"6","5.5.C","19.0148978606"
"7","5.6.C","18.3401798469"
"8","5.7.C","2.7125003755"
"9","5.8.C","24.1032902284"
"10","5.9.C","20.098205538"
"11","5.10.C","14.4459371563"
"12","5.11.C","19.5595611152"
"13","5.12.C","17.6496145982"
"14","5.13.C","18.9260373826"
"15","5.14.C","12.2237186158"
"16","5.15.C","16.1309253236"
"17","5.16.C","14.6132628016"
"18","5.17.C","9.8758267911"
"19","5.18.C","17.9073132839"
"20","5.19.C","13.9876693312"
"21","5.20.C","12.769354779"
"22","5.21.C","8.0246545713"
"23","5.22.C","15.8928735968"
"24","5.23.C","21.8273269946"
"25","5.24.C","17.6014092842"
"26","5.25.C","13.4295923386"
"27","5.26.C","11.6602548129"
"28","5.27.C","18.9795070288"
"29","5.28.C","14.835292539"
"30","5.29.C","11.9493296292"
"31","5.30.C","15.0714885787"
"32","5.31.C","10.4877502095"
"33","5.32.C","12.5697378051"
"34","5.33.C","8.1989302608"
"35","5.34.C","3.8262307609"
"36","5.35.C","14.7925367723"
"37","5.36.C","14.0724108214"
"38","5.37.C","8.9832023249"
"39","5.38.C","15.4064260035"
"40","5.39.C","14.9439420457"
"41","5.40.C","17.2911031347"
"42","5.41.C","14.378467244"
"43","5.42.C","3.6715311618"
"44","5.43.C","18.4497732486"
"45","5.44.C","6.5928118768"
"46","5.45.C","16.4526362246"
"47","5.46.C","12.12529614"
"48","5.47.C","18.15129731"
"49","5.48.C","15.7952491453"
"50","5.49.C","6.8331983132"
"51","5.50.C","9.0005836526"
"52","5.51.C","9.5774496333"
"53","5.52.C","11.3580874834"
"54","5.53.C","10.3611149379"
"55","5.54.C","10.973020008"
"56","5.55.C","13.739192995"
"57","5.56.C","15.0556572279"
"58","5.57.C","12.9927822727"
"59","5.58.C","15.6571146289"
"60","5.59.C","16.7374347598"
"61","5.60.C","7.057218918"
"62","5.61.C","14.0713979755"
"63","5.62.C","11.8301265087"
"64","5.63.C","12.2014559141"
"65","5.64.C","15.1519688923"
"66","5.65.C","12.2334553653"
"67","5.66.C","12.7232780702"
"68","5.67.C","10.3136396767"
"69","5.68.C","9.7235696811"
"70","5.69.C","3.7712813521"
"71","5.70.C","9.7475501721"
"72","5.71.C","18.1638907077"
"73","5.72.C","16.3324900012"
"74","5.73.C","17.0141189746"
"75","5.74.C","18.6659525627"
"76","5.75.C","6.1437127965"
"77","5.76.C","8.8595576777"
"78","5.77.C","6.8718142603"
"79","5.78.C","13.5664531187"
"80","5.79.C","18.5567705102"
"81","5.80.C","12.3521604559"
"82","5.81.C","10.3688361699"
"83","5.82.C","11.0031931793"
"84","5.83.C","11.8467008044"
"85","5.84.C","14.7141794704"
"86","5.85.C","18.637688263"
"87","5.86.C","14.6866745677"
"88","5.87.C","11.5441565642"
"89","5.88.C","8.6468853569"
"90","5.89.C","11.5631447205"
"91","5.90.C","8.2817358994"
"92","5.91.C","16.7440427427"
"93","5.92.C","15.8038437301"
"94","5.93.C","17.6681615498"
"95","5.94.C","13.4876955969"
"96","5.95.C","3.3627307081"
"97","5.96.C","17.3564832905"
"98","5.97.C","8.3228551616"
"99","5.98.C","15.5525544279"
"100","5.99.C","9.6959389413"
"101","5.100.C","14.8375127971"
"102","5.101.C","10.7531229591"
"103","5.102.C","5.9826449666"
"104","5.103.C","10.9843804916"
"105","5.104.C","10.3128542664"
"106","5.105.C","16.9574317756"
"107","5.106.C","13.8453897889"
"108","5.107.C","7.135117999"
"109","5.108.C","8.0483093748"
"110","5.109.C","16.4748923815"
"111","5.110.C","12.9116664288"
"112","5.111.C","11.1013515085"
"113","5.112.C","13.01537561"
"114","5.113.C","17.0881426871"
"115","5.114.C","15.392228792"
"116","5.115.C","14.4747185844"
"117","5.116.C","13.2536569714"
"118","5.117.C","6.7525871247"
"119","5.118.C","16.0308127176"
"120","5.119.C","11.0290134839"
"121","5.120.C","12.9753372126"
"122","5.121.C","6.5460246323"
"123","5.122.C","15.0274172017"
"124","5.123.C","16.8681255863"
"125","5.124.C","6.7659532102"
"126","5.125.C","7.6190398216"
"127","5.126.C","17.3799080532"
"128","5.127.C","17.5992215406"
"129","5.128.C","8.0517578941"
"130","5.129.C","17.886732518"
"131","5.130.C","10.0773927591"
"132","5.131.C","10.8729807546"
"133","5.132.C","16.1973891073"
"134","5.133.C","6.5285261001"
"135","5.134.C","11.1618438405"
"136","5.135.C","13.652615984"
"137","5.136.C","9.888402072"
"138","5.137.C","12.8248814124"
"139","5.138.C","11.5244727421"
"140","5.139.C","17.3426092698"
"141","5.140.C","14.6836781057"
"142","5.141.C","12.7307444714"
"143","5.142.C","15.5660419154"
"144","5.143.C","11.4259211826"
"145","5.144.C","11.8416564195"
"146","5.145.C","13.6408785759"
"147","5.146.C","13.8645968801"
"148","5.147.C","15.6003046272"
"149","5.148.C","11.1440478048"
"150","5.149.C","9.0041829549"
"151","5.150.C","5.5939982137"
"152","5.151.C","7.3843248526"
"153","5.152.C","11.8379030911"
"154","5.153.C","14.1296097233"
"155","5.154.C","19.4813894073"
"156","5.155.C","13.2851164873"
"157","5.156.C","14.9163569245"
"158","5.157.C","6.2988824223"
"159","5.158.C","12.1356309695"
"160","5.159.C","9.0719608011"
"161","5.160.C","9.5845273884"
"162","5.161.C","10.0830013942"
"163","5.162.C","14.0404773702"
"164","5.163.C","11.057951438"
"165","5.164.C","15.0540290198"
"166","5.165.C","14.2921849485"
"167","5.166.C","13.9953526305"
"168","5.167.C","6.9991020844"
"169","5.168.C","13.357326472"
"170","5.169.C","10.2737934815"
"171","5.170.C","13.4259934034"
"172","5.171.C","9.6315917778"
"173","5.172.C","12.1530131129"
"174","5.173.C","12.7345074249"
"175","5.174.C","14.0907494229"
"176","5.175.C","11.1729913239"
"177","5.176.C","7.9712936936"
"178","5.177.C","11.5539975499"
"179","5.178.C","11.4876718972"
"180","5.179.C","8.4913976887"
"181","5.180.C","10.5300411814"
"182","5.181.C","12.2374897377"
"183","5.182.C","10.8382936244"
"184","5.183.C","8.9444241275"
"185","5.184.C","13.022710264"
"186","5.185.C","12.2967427106"
"187","5.186.C","12.7385933864"
"188","5.187.C","13.7738165134"
"189","5.188.C","7.2511188582"
"190","5.189.C","10.5422401268"
"191","5.190.C","10.6939192816"
"192","5.191.C","4.7696821319"
"193","5.192.C","9.7310603641"
"194","5.193.C","11.363766159"
"195","5.194.C","12.9627748219"
"196","5.195.C","12.8849435792"
"197","5.196.C","11.2830439731"
"198","5.197.C","11.1509211129"
"199","5.198.C","11.9156944439"
"200","5.199.C","14.8855249002"
"201","5.200.C","10.9322565782"
"202","5.201.C","6.3278541027"
"203","5.202.C","12.396073388"
"204","5.203.C","11.1551678484"
"205","5.204.C","12.0957185895"
"206","5.205.C","11.88335027"
"207","5.206.C","11.6020396937"
"208","5.207.C","11.952660223"
"209","5.208.C","14.6835015035"
"210","5.209.C","9.9575598385"
"211","5.210.C","10.9725519156"
"212","5.211.C","10.7295027208"
"213","5.212.C","4.2022193033"
"214","5.213.C","9.7913779296"
"215","5.214.C","6.3878322752"
"216","5.215.C","11.9827781839"
"217","5.216.C","7.7676240477"
"218","5.217.C","6.8110245734"
"219","5.218.C","17.0598505837"
"220","5.219.C","8.8450623323"
"221","5.220.C","9.3629979108"
"222","5.221.C","0.811541442799999"
"223","5.222.C","10.079777669"
"224","5.223.C","11.3455903898"
"225","5.224.C","10.9148469601"
"226","5.225.C","1.2268622246"
"227","5.226.C","6.1361928109"
"228","5.227.C","8.6745189675"
"229","5.228.C","10.5166563311"
"230","5.229.C","5.4728837837"
"231","5.230.C","9.2263231003"
"232","5.231.C","13.3686959451"
"233","5.232.C","7.6180873975"
"234","5.233.C","10.2499473988"
"235","5.234.C","8.164925043"
"236","5.235.C","3.3345002936"
