Time,PopSize,InTreatment
1.0000000000,9829,0
2.0000000000,9699,0
3.0000000000,9577,0
4.0000000000,9475,0
5.0000000000,9350,0
6.0000000000,9244,0
7.0000000000,9142,0
8.0000000000,9026,0
9.0000000000,8920,0
10.0000000000,8817,0
11.0000000000,8731,0
12.0000000000,8651,0
13.0000000000,8568,0
14.0000000000,8474,0
15.0000000000,8397,0
16.0000000000,8273,0
17.0000000000,8169,0
18.0000000000,8057,0
19.0000000000,7956,0
20.0000000000,7856,0
21.0000000000,7750,0
22.0000000000,7646,0
23.0000000000,7503,0
24.0000000000,7377,0
25.0000000000,7254,3
26.0000000000,7113,13
27.0000000000,6954,24
28.0000000000,6791,37
29.0000000000,6646,78
30.0000000000,6510,104
31.0000000000,6354,128
32.0000000000,6224,154
33.0000000000,6081,174
34.0000000000,5944,231
35.0000000000,5800,228
36.0000000000,5660,226
37.0000000000,5523,248
38.0000000000,5403,246
39.0000000000,5244,243
40.0000000000,5101,260
