"ID","Gender","TOB","TOD","IDF","IDM","TODebut","FormEag","FormEagMSM","InfectTime","InfectOrigID","InfectType","log10SPVL","TreatTime","XCoord","YCoord","AIDSDeath","HSV2InfectTime","HSV2InfectOriginID","CD4atInfection","CD4atDeath"
1,0,-9.6111404243,       inf,-1,-1,5.3888595757,3.6217407853,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11474,0,23.1503342789,       inf,4646,9516,38.1503342789,1.5776697932,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
12064,0,39.2249484181,       inf,626,10526,       inf,0.1114107997,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
3849,0,-14.3852767017,       inf,-1,-1,0.6147232983,0.0000218454,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11348,0,20.9467015835,       inf,1642,7357,35.9467015835,2.0400091222,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
12079,0,39.7268667178,       inf,4954,10121,       inf,16.1906230091,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
7,0,-15.6079882363,       inf,-1,-1,0.0000000000,1.2858254834,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
3423,0,-1.3362229799,       inf,-1,-1,13.6637770201,63.3627318641,0.0000000000,22.5667146211,7253,1,2.5932691676,34.5271162163,0.0000000000,0.0000000000,-1,       inf,-1,860.8250100166,30.1357716322
10811,0,13.0502891138,       inf,4656,9088,28.0502891138,6.3645863953,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
2888,0,-7.5697743403,       inf,-1,-1,7.4302256597,0.0000047651,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
3610,0,-6.3631662124,       inf,-1,-1,8.6368337876,18.8175212217,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11491,0,23.4612900691,       inf,227,7671,38.4612900691,0.9944169858,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
10489,0,8.6402281888,       inf,854,8121,23.6402281888,9.9252094928,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
14,0,-20.0870786291,       inf,-1,-1,0.0000000000,0.5819408422,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11082,0,16.8918487495,       inf,1731,9240,31.8918487495,0.7966791709,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
16,0,-21.6459382964,       inf,-1,-1,0.0000000000,3.7113102589,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
10773,0,12.5839158970,       inf,988,8916,27.5839158970,0.0163219841,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
12045,0,38.0413436281,       inf,2784,8093,       inf,17.2620922340,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
19,0,-0.9409465311,       inf,-1,-1,14.0590534689,0.0003248340,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
4854,0,-9.1781276383,       inf,-1,-1,5.8218723617,0.0000000002,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11140,0,17.8185724507,       inf,3402,5690,32.8185724507,12.5448159733,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
10150,0,3.7348780824,       inf,2783,7130,18.7348780824,71.7611107522,0.0000000000,29.1682634938,10613,1,2.5214543706,39.8975157284,0.0000000000,0.0000000000,-1,       inf,-1,895.8171528298,92.8586323280
10882,0,14.0467551995,       inf,4229,5787,29.0467551995,9.6718382739,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11619,0,25.7453897332,       inf,4600,6952,       inf,32.6483389189,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11683,0,27.4070758055,       inf,4165,9373,       inf,0.3959424762,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
10173,0,4.1121469735,       inf,920,9912,19.1121469735,40.4558569254,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
10339,0,6.5282391835,       inf,2611,8429,21.5282391835,2.2829186472,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
4374,0,-18.5344924806,       inf,-1,-1,0.0000000000,0.0040840648,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
29,0,-6.8664854061,       inf,-1,-1,8.1335145939,0.0000000267,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
30,0,-4.4116221942,       inf,-1,-1,10.5883778058,4.0034635378,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
11706,0,28.0928103424,       inf,2975,8677,       inf,2.2912408912,0.0000000000,       inf,-1,-1,      -inf,       inf,0.0000000000,0.0000000000,-1,       inf,-1,-1.0000000000,-1.0000000000
