"ID1","ID2","FormTime","DisTime","AgeGap","MSM"
3963,6769,0.0018130647,0.0023423413,12.5657022948,0
3402,9088,0.0000000126,0.0153290951,13.7268045208,0
3161,9387,0.0009737742,0.0444738928,19.2314633243,0
4536,8538,0.0003392660,0.0562132291,18.5588790462,0
2000,7097,0.0000666735,0.0719549013,10.8895728297,0
988,5547,0.0371199392,0.0876162794,7.2794946111,0
2332,6728,0.0261306403,0.0900029800,17.5780487429,0
547,7071,0.0784870407,0.1078890650,19.2906982944,0
591,5024,0.0822262553,0.1101732553,13.4685458072,0
4036,7330,0.0003577342,0.1118388445,8.2081554145,0
3715,7071,0.0789374449,0.1141014981,20.2139794592,0
2607,9906,0.0006904452,0.1158496193,16.1482740291,0
8,5786,0.0053327432,0.1229592156,14.8155817839,0
1594,6234,0.0971375569,0.1264816369,15.0205711944,0
4806,6234,0.0019255793,0.1369736125,13.9771205930,0
1583,5183,0.0497177349,0.1434610326,24.0543208840,0
2429,5658,0.1580450245,0.1648372196,13.6700325585,0
3411,8166,0.0109422681,0.1744032073,14.7697445659,0
1660,5658,0.0300993335,0.1758969505,24.7483749111,0
3348,9524,0.0907177869,0.1917619399,26.7572212126,0
3075,5786,0.0006991174,0.1944529037,10.9982053807,0
3665,9373,0.0027950448,0.1952843665,22.5239979329,0
2260,7176,0.0172432198,0.2214922711,21.4441721209,0
948,5360,0.0790143892,0.2417788383,18.2692763618,0
1566,8808,0.0953433877,0.2436188475,9.4511716638,0
1342,7330,0.0000215599,0.2523233348,19.3709524531,0
3402,8593,0.0733392117,0.2538224036,15.6660336325,0
3715,7071,0.1177184217,0.2644127940,20.2139794592,0
4776,5183,0.1482805802,0.2727478089,22.0721787304,0
547,7377,0.0237523637,0.2794817902,13.8904417631,0
988,7503,0.0026370687,0.2920561598,5.4814499104,0
3022,5183,0.0012580743,0.2925564403,19.8392055495,0
482,8255,0.0600564034,0.3375346049,23.6709992407,0
3691,8683,0.3055784594,0.3410715476,19.4846332446,0
1511,8861,0.0906396995,0.3496637850,11.2506329051,0
988,8962,0.0224166333,0.3591875946,8.5556598565,0
4466,5214,0.1540735810,0.3615487384,13.2976705418,0
1660,7130,0.0000000039,0.3680157436,23.7029401781,0
2729,7671,0.0005347853,0.3731662132,12.5155740091,0
2840,7130,0.0027060449,0.3737775246,9.6824740931,0
460,9312,0.0000256771,0.3840445907,17.1558222365,0
3396,7967,0.0280390032,0.3967236236,16.8823094784,0
1854,5672,0.1866654637,0.4113034191,23.9983796671,0
1156,7368,0.1255192880,0.4117647837,11.7535769421,0
2676,7097,0.0000134247,0.4364465961,2.2538197539,0
2316,7503,0.0473392872,0.4500752547,18.2974135118,0
2917,5786,0.0582348154,0.4590697328,13.4775560252,0
3003,9390,0.1893000995,0.4675427652,13.8307915896,0
640,8981,0.0005235505,0.4746700910,22.1623949442,0
3701,5615,0.2051333282,0.4771778845,5.8757316774,0
4938,6865,0.0169543429,0.4785854337,26.0552944558,0
835,8463,0.0082357400,0.4847838582,12.8129611119,0
2762,7244,0.3459246288,0.4921778757,20.0729560945,0
3411,8463,0.0001179768,0.4977792698,14.7942593958,0
1646,8987,0.3338925510,0.5065994437,3.7158971581,0
3715,7920,0.0051861449,0.5155313356,12.1415534434,0
3402,6254,0.3243733256,0.5205213170,15.8793905438,0
3385,6847,0.0000002875,0.5351921383,19.6975055645,0
1708,6561,0.3093627465,0.5361701196,17.6830282392,0
3967,9906,0.0336015944,0.5519636450,21.4825753995,0
1081,8429,0.0665070393,0.5696918622,28.9610036045,0
568,9387,0.0099065699,0.5733832724,8.7559787985,0
1566,5672,0.4191950813,0.5752209298,16.9727252494,0
4104,5309,0.0046411613,0.5801023215,28.9047418543,0
3396,7370,0.5023574970,0.5816460660,20.6719827397,0
3606,8538,0.0430394214,0.6133796083,7.6706371452,0
1731,8121,0.0121882520,0.6202012978,14.4587118710,0
3566,9088,0.5172639849,0.6218767863,12.6601664819,0
4852,6610,0.1188842092,0.6331806232,16.9227657496,0
1594,7571,0.1918057860,0.6434758951,17.3711674165,0
1963,6794,0.0060772223,0.6438885523,15.5605000000,0
3402,9088,0.0153291981,0.6539874772,13.7268045208,0
