** Cluster Picker Results **
Input sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas
Input tree =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas.nwk
Initial support threshold=	0.8
Support threshold=	0.7
Genetic distance threshold=	0.045
Large cluster threshold=	2
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A_EAC_HIV_1_A.fas_clusterPicks.fas
Output tree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas_clusterPicks.nwk
Output figtree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_A.fas_clusterPicks.nwk.figTree
-------------------------
There are	2095	sequences
Tree has	2095	tips
Found	440	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	7	7	[A1.UG.2007.MBA1211.KJ906907, A1.UG.2008.CP076301910.HQ995385, A1.UG.1997.458.AY435286, A1.UG.1997.811.AY435374, A1.UG.2008.CP076300755.HQ995331, A1.UG.2008.CP076300718.JN630954, A1.UG.2002.AMU063.KJ906681]	0.753	0.040229885057471264
2	3	3	[A1.UG.2007.MBA1195.KJ906892, A1.UG.1997.44.AF388067, A1.UG.2010.JCRMARCH117_0.JX182006]	0.795	0.028735632183908046
3	6	6	[A1.UG.1997.429.AF388078, A1.UG.1997.429.AY428685, A1.UG.2008.CP076303091.HQ995268, A1.UG.2010.KND37_520062442202.JQ625637, A1.UG.2008.MBA1387.KJ907073, A1.UG.2009.NTCPS726.HQ702620]	0.761	0.031609195402298854
4	2	2	[A1.UG.2008.CP076303070.HQ995250, A1.UG.2008.HIV102946.JN132324]	0.978	0.005747126436781609
5	2	2	[A1.UG.1997.577.AF388150, A1.UG.2002.AMU003.KJ906627]	0.942	0.02586206896551724
6	4	4	[A1.UG.2008.CP076301861.HQ995172, A1.UG.1997.790.DQ230358, A1.UG.1997.790.AF388159, A1.UG.1997.790.DQ230357]	0.787	0.020114942528735632
7	4	4	[A1.UG.2010.1044001_RES.JX498989, A1.UG.2008.CP076303073.HQ995253, A1.UG.1997.807.AF388129, A1.UG.1997.807.AY428723]	0.821	0.034482758620689655
8	4	4	[A1.UG.1998.08_101518.FJ389114, A1.UG.2009.51.KC018890, A1.UG.2007.MBA1200.KJ906897, A1.UG.2009.261.KC018654]	0.793	0.040229885057471264
9	4	4	[A1.UG.2005.MBA1035.KJ906737, A1.UG.2008.CP076302959.HQ995047, A1.UG.2008.CP076300842.HQ995113, A1.UG.2010.7027701_RES.JX499014]	0.849	0.031609195402298854
10	4	4	[A1.UG.2004.319763_R.HM037839, A1.UG.2011.DEMA110UG001.KF859745, A1.UG.1997.85.AY435236, A1.UG.2008.CP076302989.HQ995061]	0.782	0.040229885057471264
11	2	2	[A1.UG.2008.CP076301796.HQ995148, A1.UG.2008.CP076301807.HQ995152]	0.903	0.008620689655172414
12	4	4	[A1.UG.2006.J0747_B.JN652167, A1.UG.2007.J0747_1.JN652203, A1.UG.2007.MBA1288.KJ906979, A1.UG.2009.MBA1509.KJ907185]	0.866	0.03735632183908046
13	6	6	[A1.UG.2007.MBA1280.KJ906971, A1.UG.1997.679.AY435334, A1.UG.1997.651.AY435310, A1.UG.2006.MBA1139.KJ906837, A1.UG.2010.1011601_PIN.JX498971, A1.UG.2009.3083HR.JF800215]	0.765	0.028735632183908046
14	3	3	[A1.UG.2008.HIV100845.JN132251, A1.UG.2004.301V04003475BM.GU059319, A1.UG.2004.301V04003479.GU059320]	0.841	0.028735632183908046
15	2	2	[A1.UG.2004.321541_D.HM037843, A1.UG.2009.192.KC018586]	0.762	0.031609195402298854
16	3	3	[A1.UG.2006.MBA1162.KJ906860, A1.UG.2005.MBA1037.KJ906738, A1.UG.2008.CP076302070.HQ995030]	0.817	0.04310344827586207
17	2	2	[A1.UG.2005.MBAR016_020505.EF186225, A1.UG.2011.LCF85_580033552202.JQ625625]	0.878	0.04310344827586207
18	2	2	[A1.UG.2008.CP076301829.HQ995164, A1.UG.2008.CP076303023.HQ995087]	0.911	0.008620689655172414
19	2	2	[A1.UG.1998.07_156961.FJ389079, A1.UG.2008.CP076301996.HQ995450]	0.92	0.034482758620689655
20	2	2	[A1.UG.1997.534.AF388146, A1.UG.1997.534.AY428696]	0.846	0.0028735632183908046
21	3	3	[A1.UG.2006.MBA1120.KJ906818, A1.UG.1997.819.AY435376, A1.UG.1998.07_156929.FJ389068]	0.929	0.03735632183908046
22	3	3	[A1.UG.2007.MBA1342.KJ907028, A1.UG.2008.CP076302042.HQ995198, A1.UG.2008.HIV102032.JN132291]	0.768	0.04310344827586207
23	3	3	[A1.UG.2004.371850_K.HM037863, A1.UG.1997.542.AF388091, A1.UG.2006.RCC_TDR_482054.JQ266057]	0.776	0.034482758620689655
24	2	2	[A1.UG.1997.674.AY435339, A1.UG.2008.HIV101855.JN132283]	0.74	0.040229885057471264
25	3	3	[A1.UG.2008.CP076300704.HQ994918, A1.UG.2005.P0110_120405.EF186142, A1.UG.2009.AICPS399.HQ702618]	0.83	0.03735632183908046
26	2	2	[A1.UG.2005.MBAR007_120405.EF186223, A1.UG.2006.IAEM031.EU306763]	0.731	0.04310344827586207
27	7	7	[A1.UG.2006.MBA1171.KJ906869, A1.UG.2008.CP076300809.HQ995103, A1.UG.2007.CP076305899.JQ480260, A1.UG.1997.45.AY428672, A1.UG.1997.45.AY435228, A1.UG.2008.CP076303082.HQ995259, A1.UG.1997.22.AY428671]	0.786	0.04310344827586207
28	2	2	[A1.UG.2006.MBA1122.KJ906820, A1.UG.2006.MBA1076.KJ906776]	0.914	0.034482758620689655
29	2	2	[A1.UG.2007.MBA1348.KJ907034, A1.UG.2008.CP076301873.HQ995005]	0.861	0.031609195402298854
30	2	2	[A1.UG.2005.MBAR017_030505.EF186226, A1.UG.2008.CP076300835.HQ995110]	0.75	0.034482758620689655
31	2	2	[A1.UG.2008.0765HR.JF800190, A1.UG.2010.JCRMARCH061_0.JX181990]	0.745	0.031609195402298854
32	2	2	[A1.UG.1997.522.AF388144, A1.UG.2009.NTCPS707.HQ702663]	0.721	0.017241379310344827
33	4	4	[A1.UG.2008.CP076301978.HQ995014, A1.UG.2008.CP076302043.HQ995019, A1.UG.2008.CP076300882.HQ995135, A1.UG.2009.3683HR.JF800225]	0.767	0.034482758620689655
34	2	2	[A1.UG.2008.MBA1398.KJ907084, A1.UG.2009.MBA1491.KJ907168]	0.782	0.008620689655172414
35	2	2	[A1.UG.2007.MBA1317.KJ907006, A1.UG.2010.MBA1517.KJ907191]	0.919	0.031609195402298854
36	6	6	[A1.UG.1998.07_156976.FJ389083, A1.UG.2006.743.KC019092, A1.UG.1997.532.AF388145, A1.UG.2008.MBA1424.KJ907109, A1.UG.2008.CP076300828.HQ994952, A1.UG.1997.697.AY435331]	0.7	0.022988505747126436
37	2	2	[A1.UG.2008.CP076302011.HQ995453, A1.UG.2008.MBA1366.KJ907052]	0.761	0.03735632183908046
38	4	4	[A1.UG.2008.CP076301805.HQ995151, A1.UG.2004.337194_A.HM037814, A1.UG.2005.416275_M.HM037886, A1.UG.2006.503727_G.HM037897]	0.805	0.034482758620689655
39	2	2	[A1.UG.2006.MBA1103.KJ906803, A1.UG.2008.CP076300898.HQ995143]	0.777	0.04310344827586207
