** Cluster Picker Results **
Input sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas
Input tree =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas.nwk
Initial support threshold=	0.8
Support threshold=	0.7
Genetic distance threshold=	0.045
Large cluster threshold=	2
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C_EAC_HIV_1_C.fas_clusterPicks.fas
Output tree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas_clusterPicks.nwk
Output figtree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_C.fas_clusterPicks.nwk.figTree
-------------------------
There are	893	sequences
Tree has	893	tips
Found	137	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	2	2	[C.TZ.2005.TMS211.EU251847, C.TZ.2009.41542.KM458596]	0.873	0.042071197411003236
2	3	3	[C.TZ.2003.CO6838V1.KX907424, C.TZ.2005.TMS130.EU251828, C.TZ.2004.CO0041V3.KX907337]	0.796	0.03559870550161812
3	2	2	[C.TZ.2012.1st_39.KX775244, C.TZ.2013.15800.KY747360]	0.723	0.038834951456310676
4	2	2	[C.TZ.2013.1st_76.KX775259, C.CD.2007.C_07CD4094.FR666608]	0.868	0.038834951456310676
5	3	3	[C.TZ.2008.112319.KM438296, C.TZ.2013.16124.KY747365, C.TZ.2013.16127.KY747366]	0.841	0.02912621359223301
6	2	2	[C.TZ.2001.A388.AY253317, C.TZ.2005.CO3672V4.KX907382]	0.748	0.016181229773462782
7	5	5	[C.TZ.2006.CO6146V7.KX907400, C.TZ.2006.CO6847V7.KX907425, C.TZ.2006.CO3440V7.KX907375, C.TZ.2004.CO6644V2.KX907415, C.TZ.2005.CO6785V5.KX907420]	0.781	0.032362459546925564
8	3	3	[C.TZ.2005.C.TZ.2005.063B-37-07.KF530955, C.TZ.2005.C.TZ.2005.063B-01-03.KF530957, C.TZ.2005.C.TZ.2005.063B-19-03.KF530958]	0.978	0.009708737864077669
9	2	2	[C.TZ.2002.CO3056.AY734550, C.TZ.2005.TMS128.EU251826]	0.829	0.038834951456310676
10	2	2	[C.TZ.2004.CO0377V4.KX907345, C.TZ.2005.CO3063V5.KX907363]	0.871	0.019417475728155338
11	2	2	[C.TZ.2005.TBK063.EU251753, C.TZ.2012.1st_33.KX775240]	0.754	0.042071197411003236
12	2	2	[C.TZ.2006.07914944802341.KP681792, C.TZ.2006.7217416.KP681730]	0.998	0.009708737864077669
13	2	2	[C.TZ.2004.CO6033V4.KX907394, C.TZ.2004.CO6040V4.KX907395]	0.746	0.025889967637540454
14	7	7	[C.TZ.2005.C.TZ.2005.603B-02-29.KF531337, C.TZ.2005.C.TZ.2005.603B-17-29.KF531340, C.TZ.2005.C.TZ.2005.603B-24-29.KF531341, C.TZ.2005.C.TZ.2005.603B-28-30.KF531343, C.TZ.2005.C.TZ.2005.603B-36-30.KF531345, C.TZ.2005.C.TZ.2005.603B-39-30.KF531350, C.TZ.2005.C.TZ.2005.603B-37-28.KF531346]	0.935	0.012944983818770227
15	2	2	[C.TZ.2003.CO6471V1.KX907407, C.TZ.2008.112320.KM438297]	0.873	0.038834951456310676
16	2	2	[C.TZ.2014.19366.KY747392, C.RW.2009.335.KC018724]	0.771	0.042071197411003236
17	2	2	[C.TZ.2004.S32POL.JQ071475, C.CD.2007.C_07CD2463.FR666621]	0.782	0.042071197411003236
18	8	8	[C.TZ.2008.707010457.p23.JQ779163, C.TZ.2008.707010457.p8.JQ779168, C.TZ.2008.707010457.p1.JQ779148, C.TZ.2008.707010457.p15.JQ779154, C.TZ.2008.707010457.p10.JQ779149, C.TZ.2008.707010457.p20.JQ779160, C.TZ.2008.707010457.p19.JQ779158, C.TZ.2008.707010457.p11.JQ779150]	0.975	0.009708737864077669
19	15	15	[C.TZ.2005.C.TZ.2005.291B-45-16.KF531185, C.TZ.2005.C.TZ.2005.291B-08-16.KF531159, C.TZ.2005.C.TZ.2005.291B-16-15.KF531164, C.TZ.2005.C.TZ.2005.291B-11-16.KF531161, C.TZ.2005.C.TZ.2005.291B-34-16.KF531180, C.TZ.2005.C.TZ.2005.291B-38-01.KF531176, C.TZ.2005.C.TZ.2005.291B-09-01.KF531160, C.TZ.2005.C.TZ.2005.291B-40-16.KF531183, C.TZ.2005.C.TZ.2005.291B-38-16.KF531182, C.TZ.2005.C.TZ.2005.291B-03-16.KF531156, C.TZ.2005.C.TZ.2005.291B-24-15.KF531171, C.TZ.2005.C.TZ.2005.291B-18-15.KF531167, C.TZ.2005.C.TZ.2005.291B-17-16.KF531166, C.TZ.2005.C.TZ.2005.291B-40-01.KF531177, C.TZ.2005.C.TZ.2005.291B-04-15.KF531157]	0.744	0.042071197411003236
20	2	2	[C.TZ.2004.S18Pol.JQ071464, C.TZ.2004.S22Pol.JQ071468]	0.889	0.016181229773462782
21	2	2	[C.TZ.2012.1st_27.KX775232, C.TZ.2002.CO6721.AY734560]	0.769	0.022653721682847898
