** Cluster Picker Results **
Input sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas
Input tree =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas.nwk
Initial support threshold=	0.8
Support threshold=	0.7
Genetic distance threshold=	0.045
Large cluster threshold=	2
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D_EAC_HIV_1_D.fas_clusterPicks.fas
Output tree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas_clusterPicks.nwk
Output figtree=	/home/david/Dropbox/Niyukuri/EAC_Phylogenetic/2020_raw_data/EAC_HIV_1_D.fas_clusterPicks.nwk.figTree
-------------------------
There are	1445	sequences
Tree has	1445	tips
Found	282	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	2	2	[D.UG.2005.F0703_B.JN652155, D.UG.2008.F0703_1.JN652191]	0.931	0.019230769230769232
2	2	2	[D.UG.2005.B0565_B.JN652140, D.UG.2007.B0565_1.JN652171]	0.917	0.022435897435897436
3	3	3	[D.UG.2008.MBA1377.KJ907063, D.UG.1998.08_101571.FJ389124, D.UG.1999.99UGG10555.AF484494]	0.753	0.019230769230769232
4	4	4	[D.UG.2005.MBA1050.KJ906751, D.UG.2005.MBA1050_171005.EF186216, D.UG.2009.AICPS337.HQ702667, D.UG.2009.383.KC018773]	0.796	0.04487179487179487
5	2	2	[D.UG.2003.301V04000022BM.GU059290, D.UG.2003.301V04000042.GU059291]	0.899	0.016025641025641024
6	4	4	[D.UG.2005.MBA1033.KJ906735, D.UG.1997.158.AY435243, D.UG.2008.CP076300725.HQ995319, D.UG.1998.07_156994.FJ389096]	0.837	0.041666666666666664
7	4	4	[D.UG.2003.301V03000571BM.GU059279, D.UG.1999.99UGB25647.AF484481, D.UG.2006.IAEM048.EU306775, D.UG.2003.301V03000613.GU059280]	0.911	0.038461538461538464
8	4	4	[D.UG.1997.238.AY435257, D.UG.2005.P0043_160205.EF186135, D.UG.2011.412.KC018798, D.UG.1997.624.AY435321]	0.716	0.035256410256410256
9	6	6	[D.UG.2009.NTCPS727.HQ702619, D.TZ.2005.TBK008.EU251720, D.UG.1998.07_156909.FJ389061, D.UG.1998.07_156983.FJ389089, D.UG.1997.782.AF388126, D.UG.2010.3111801_RES.JX498984]	0.873	0.03205128205128205
10	2	2	[D.UG.1997.784.AY428720, D.UG.1997.784.AY435359]	0.897	0.003205128205128205
11	4	4	[D.UG.2005.13327D_P1.GQ409555, D.UG.1997.755.AF388122, D.UG.2007.RCC_TDR_483664.JQ266081, D.UG.2009.136.KC018532]	0.77	0.035256410256410256
12	3	3	[D.UG.2005.E0580_B.JN652150, D.UG.2007.E0580_1.JN652183, D.UG.2007.E0580_2.JN652206]	0.995	0.028846153846153848
13	2	2	[D.UG.1997.490.AF388088, D.UG.1997.490.AY428690]	0.748	0.01282051282051282
14	2	2	[D.UG.2006.J0700_B.JN652164, D.UG.2007.J0700_1.JN652200]	0.956	0.009615384615384616
15	2	2	[D.UG.2008.CP076303079.HQ995257, D.UG.2008.HIV102963.JN132328]	0.956	0.019230769230769232
